wl,n
18.8679,4.497
19.2308,3.797
19.6078,3.232
20.0000,2.725
20.4082,1.951
20.8333,0.629
21.2766,0.283
21.7391,0.512
22.2222,1.472
22.7273,7.250
23.2558,9.484
23.8095,6.881
24.3902,5.718
25.0000,5.020
25.6410,3.879
26.3158,5.677
27.0270,4.903
27.7778,4.560
28.5714,4.279
29.4118,4.122
30.3030,4.000
31.2500,3.893
32.2581,3.803
33.3333,3.723
34.4828,3.667
35.7143,3.646
37.0370,3.617
38.4615,3.571
40.0000,3.530
41.6667,3.492
43.4783,3.458
45.4545,3.426
47.6190,3.398
50.0000,3.372
52.6316,3.348
55.5556,3.326

wl,k
0.2100,-0.052
0.2200,-0.039
0.2300,-0.026
0.2400,-0.019
0.2500,-0.016
0.2600,-0.010
0.2700,-0.004
0.2800,-0.001
0.2900,0.001
0.3000,0.007
0.3100,0.010
0.3200,0.012
0.3300,0.013
0.3400,0.014
0.3500,0.015
0.3600,0.017
0.3700,0.018
0.3800,0.018
0.3900,0.019
0.4000,0.019
0.4100,0.019
0.4200,0.019
0.4300,0.020
0.4400,0.021
0.4500,0.021
0.4600,0.021
0.4700,0.021
0.4800,0.021
0.4900,0.021
0.5000,0.021
0.5100,0.021
0.5200,0.021
0.5300,0.020
0.5400,0.021
0.5500,0.021
0.5600,0.020
0.5700,0.021
0.5800,0.020
0.5900,0.020
0.6000,0.020
0.6100,0.020
0.6200,0.021
0.6300,0.020
0.6400,0.020
0.6500,0.020
0.6600,0.020
0.6700,0.020
0.6800,0.020
0.6900,0.021
0.7000,0.020
0.7100,0.020
0.7200,0.020
0.7300,0.020
0.7400,0.020
0.7500,0.020
0.7600,0.020
0.7700,0.020
0.7800,0.020
0.7900,0.020
0.8000,0.020
0.8100,0.020
0.8200,0.020
0.8300,0.020
0.8400,0.020
0.8500,0.020
0.8600,0.020
0.8700,0.020
0.8800,0.020
0.8900,0.020
0.9000,0.020
0.9100,0.020
0.9200,0.020
0.9300,0.020
0.9400,0.020
0.9500,0.020
0.9600,0.020
0.9700,0.020
0.9800,0.020
0.9900,0.020
1.0000,0.020
1.0100,0.020
1.0200,0.020
1.0300,0.020
1.0400,0.020
1.0500,0.020
1.0600,0.020
1.0700,0.020
1.0800,0.020
1.0900,0.020
1.1000,0.020
1.1100,0.020
1.1200,0.020
1.1300,0.020
1.1400,0.020
1.1500,0.020
1.1600,0.020
1.1700,0.020
1.1800,0.020
1.1900,0.020
1.2000,0.021
1.2100,0.021
1.2200,0.020
1.2300,0.021
1.2400,0.020
1.2500,0.020
1.2600,0.020
1.2700,0.019
1.2800,0.019
1.2900,0.019
1.3000,0.019
1.3100,0.019
1.3200,0.019
1.3300,0.019
1.3400,0.019
1.3500,0.019
1.3600,0.020
1.3700,0.019
1.3800,0.020
1.3900,0.020
1.4000,0.020
1.4100,0.020
1.4200,0.019
1.4300,0.019
1.4400,0.019
1.4500,0.020
1.4600,0.019
1.4700,0.019
1.4800,0.018
1.4900,0.019
1.5000,0.019
1.5100,0.018
1.5200,0.018
1.5300,0.018
1.5400,0.019
1.5500,0.018
1.5600,0.018
1.5700,0.018
1.5800,0.018
1.5900,0.016
1.6000,0.018
1.6100,0.018
1.6200,0.018
1.6300,0.018
1.6400,0.018
1.6500,0.019
1.6600,0.019
1.6700,0.019
1.6800,0.019
