WL	n	k
0.000001124200	3.80400	6.17960
0.000001128600	3.81710	6.19540
0.000001133100	3.83040	6.21120
0.000001137500	3.84370	6.22700
0.000001142000	3.85720	6.24290
0.000001146500	3.87090	6.25880
0.000001151000	3.88460	6.27470
0.000001155500	3.89850	6.29060
0.000001160000	3.91250	6.30660
0.000001164600	3.92670	6.32260
0.000001169100	3.94110	6.33860
0.000001173700	3.95560	6.35460
0.000001178300	3.97020	6.37060
0.000001182900	3.98500	6.38660
0.000001187600	4.00000	6.40260
0.000001192200	4.01510	6.41860
0.000001196900	4.03040	6.43460
0.000001201600	4.04590	6.45060
0.000001206300	4.06160	6.46660
0.000001211100	4.07740	6.48250
0.000001215800	4.09340	6.49840
0.000001220600	4.10960	6.51420
0.000001225400	4.12600	6.53000
0.000001230200	4.14260	6.54570
0.000001235000	4.15940	6.56140
0.000001239900	4.17640	6.57700
0.000001244700	4.19350	6.59250
0.000001249600	4.21090	6.60790
0.000001254500	4.22850	6.62330
0.000001259400	4.24620	6.63850
0.000001264400	4.26420	6.65360
0.000001269300	4.28230	6.66860
0.000001274300	4.30070	6.68350
0.000001279300	4.31930	6.69830
0.000001284300	4.33800	6.71280
0.000001289400	4.35700	6.72730
0.000001294400	4.37620	6.74160
0.000001299500	4.39550	6.75560
0.000001304600	4.41510	6.76960
0.000001309700	4.43480	6.78330
0.000001314900	4.45480	6.79680
0.000001320000	4.47490	6.81010
0.000001325200	4.49520	6.82310
0.000001330400	4.51570	6.83600
0.000001335600	4.53630	6.84850
0.000001340900	4.55720	6.86090
0.000001346100	4.57820	6.87290
0.000001351400	4.59930	6.88470
0.000001356700	4.62060	6.89620
0.000001362000	4.64210	6.90730
0.000001367400	4.66360	6.91820
0.000001372700	4.68530	6.92880
0.000001378100	4.70720	6.93900
0.000001383500	4.72910	6.94890
0.000001389000	4.75110	6.95840
0.000001394400	4.77330	6.96750
0.000001399900	4.79550	6.97630
0.000001405400	4.81770	6.98470
0.000001410900	4.84010	6.99270
0.000001416400	4.86240	7.00040
0.000001422000	4.88480	7.00760
0.000001427600	4.90730	7.01440
0.000001433200	4.92970	7.02070
0.000001438800	4.95210	7.02670
0.000001444400	4.97440	7.03220
0.000001450100	4.99680	7.03730
0.000001455800	5.01910	7.04190
0.000001461500	5.04120	7.04610
0.000001467200	5.06330	7.04980
0.000001473000	5.08530	7.05310
0.000001478800	5.10720	7.05590
0.000001484600	5.12890	7.05820
0.000001490400	5.15050	7.06010
0.000001496200	5.17180	7.06150
0.000001502100	5.19300	7.06240
0.000001508000	5.21390	7.06290
0.000001513900	5.23460	7.06290
0.000001519900	5.25510	7.06250
0.000001525800	5.27530	7.06150
0.000001531800	5.29510	7.06020
0.000001537800	5.31470	7.05830
0.000001543900	5.33390	7.05610
0.000001549900	5.35280	7.05340
0.000001556000	5.37120	7.05020
0.000001562100	5.38930	7.04670
0.000001568200	5.40700	7.04270
0.000001574400	5.42430	7.03830
0.000001580600	5.44110	7.03360
0.000001586800	5.45740	7.02840
0.000001593000	5.47330	7.02290
0.000001599200	5.48860	7.01700
0.000001605500	5.50340	7.01080
0.000001611800	5.51770	7.00420
0.000001618100	5.53150	6.99730
0.000001624500	5.54470	6.99010
0.000001630900	5.55730	6.98260
0.000001637300	5.56930	6.97490
0.000001643700	5.58070	6.96690
0.000001650100	5.59150	6.95870
0.000001656600	5.60170	6.95020
0.000001663100	5.61120	6.94160
0.000001669600	5.62010	6.93270
0.000001676200	5.62830	6.92380
0.000001682800	5.63580	6.91460
0.000001689400	5.64270	6.90540
0.000001696000	5.64890	6.89600
0.000001702700	5.65440	6.88660
